Password_Type,Average_Length,Character_Sets,Entropy_Bits,Crack_Time_MD5,Crack_Time_bcrypt,Common_Patterns
Very Weak,6,Lowercase only,28,Seconds,Minutes,"dictionary words, 123456, password"
Weak,8,Lower + Numbers,42,Minutes,Hours,"word+numbers, dates, names"
Fair,10,Mixed case + Numbers,59,Days,Years,"word+year, substitutions"
Good,12,Mixed + Symbols,78,Centuries,Millennia,"complex patterns, phrases"
Strong,16,Full character set,104,Universe lifetime,Heat death,random generation
Very Strong,20,Full character set,130,Beyond computation,Impossible,cryptographic random
Passphrase (4 words),25,Words + spaces,52,Years,Centuries,correct horse battery staple
Passphrase (6 words),35,Words + spaces,78,Millennia,Impossible,extended natural language
Policy Compliant,10,Mixed + Symbols,65,Months,Millennia,Capital+word+number+symbol
Corporate Standard,12,Mixed + Symbols,72,Decades,Impossible,Company+year+symbol
